YYYY-MM-DD,evap_comb,evap_comb_source,radiation,radiation_source
1889-01-01,5.7,26,21.3,35
1889-01-02,5.9,26,21.1,35
1889-01-03,5.8,26,21.1,35
1889-01-04,5.4,26,21.6,35
1889-01-05,5.7,26,21.2,35
1889-01-06,5.3,26,21.6,35
1889-01-07,5.7,26,21.7,35
1889-01-08,5.4,26,21.9,35
1889-01-09,5.8,26,21.9,35
1889-01-10,5.8,26,21.7,35
1889-01-11,6,26,21.1,35
1889-01-12,6.1,26,20.8,35
1889-01-13,5.9,26,20.7,35
1889-01-14,6.2,26,20.7,35
1889-01-15,6.1,26,20.5,35
1889-01-16,5.9,26,20.4,35
1889-01-17,5.8,26,21.5,35
1889-01-18,6,26,21.5,35
1889-01-19,6.2,26,22,35
1889-01-20,5.9,26,22.4,35
1889-01-21,5.8,26,22.1,35
1889-01-22,5.6,26,21.5,35
1889-01-23,5.5,26,21,35
1889-01-24,5.7,26,20.9,35
1889-01-25,5.9,26,20.6,35
1889-01-26,5.8,26,20.2,35
1889-01-27,5.6,26,19.9,35
1889-01-28,5.3,26,19.6,35
1889-01-29,5,26,19.5,35
1889-01-30,5.1,26,19.8,35
1889-01-31,5.1,26,19.6,35
1889-02-01,4.8,26,19.7,35
1889-02-02,4.9,26,19.7,35
1889-02-03,5.1,26,20.2,35
1889-02-04,5.2,26,19.4,35
1889-02-05,5,26,19.5,35
1889-02-06,5.1,26,20.6,35
1889-02-07,5.3,26,20.3,35
1889-02-08,5.6,26,20.1,35
1889-02-09,4.9,26,20.1,35
1889-02-10,5.1,26,20.5,35
1889-02-11,5.2,26,20,35
1889-02-12,5.2,26,20.1,35
1889-02-13,4.9,26,19,35
1889-02-14,5.1,26,19,35
1889-02-15,5,26,18,35
1889-02-16,5.2,26,17.8,35
1889-02-17,5.1,26,18.3,35
1889-02-18,5,26,18.5,35
1889-02-19,5.4,26,18.6,35
1889-02-20,5.4,26,19.1,35
1889-02-21,5.2,26,18.7,35
1889-02-22,5.3,26,18.6,35
1889-02-23,5.2,26,19.5,35
1889-02-24,5.2,26,18.7,35
1889-02-25,5.2,26,18.4,35
1889-02-26,5.5,26,18.2,35
1889-02-27,5.4,26,17.7,35
1889-02-28,5.4,26,18.1,35
1889-03-01,4.5,26,17.9,35
1889-03-02,4.3,26,17.8,35
1889-03-03,4.3,26,18,35
1889-03-04,4.4,26,16.9,35
1889-03-05,4.5,26,17.4,35
1889-03-06,4.7,26,18.3,35
1889-03-07,4.9,26,17.8,35
1889-03-08,4.5,26,17,35
1889-03-09,4.8,26,18.7,35
1889-03-10,4.7,26,18.1,35
1889-03-11,4.3,26,17.5,35
1889-03-12,4.9,26,18.8,35
1889-03-13,4.7,26,18.6,35
1889-03-14,4.3,26,18.3,35
1889-03-15,4.3,26,17.8,35
1889-03-16,4.4,26,17.8,35
1889-03-17,4.6,26,17.6,35
1889-03-18,4.5,26,16.9,35
1889-03-19,4.7,26,17.8,35
1889-03-20,4.6,26,17.7,35
1889-03-21,4.6,26,16.7,35
1889-03-22,4.4,26,16.7,35
