"","year","RHminT","RHmaxT"
"1",1889,90.2460273972603,45.8753424657534
"2",1890,90.2071232876712,45.8578082191781
"3",1891,90.1646575342466,45.9002739726027
"4",1892,90.1827868852459,45.9193989071038
"5",1893,90.112602739726,45.9586301369863
"6",1894,90.2805479452055,45.9465753424658
"7",1895,90.298904109589,45.9969863013699
"8",1896,90.2092896174863,45.9368852459016
"9",1897,90.4005479452055,47.0416438356164
"10",1898,89.9978082191781,46.6797260273973
"11",1899,90.3252054794521,47.0369863013699
"12",1900,89.8753424657534,47.0668493150685
"13",1901,90.492602739726,46.9627397260274
"14",1902,92.1545205479452,46.8520547945205
"15",1903,91.4238356164384,47.8065753424658
"16",1904,90.0975409836066,46.3887978142076
"17",1905,90.7578082191781,46.7134246575342
"18",1906,89.833698630137,46.8621917808219
"19",1907,88.6038356164384,47.198904109589
"20",1908,91.9081967213115,48.3606557377049
"21",1909,91.3531506849315,49.3282191780822
"22",1910,90.867397260274,49.8931506849315
"23",1911,93.1986301369863,49.6898630136986
"24",1912,91.4680327868852,49.8882513661202
"25",1913,92.6027397260274,50.312602739726
"26",1914,91.3501369863014,47.7142465753425
"27",1915,89.0419178082192,50.4854794520548
"28",1916,92.4054644808743,50.1948087431694
"29",1917,94.2775342465753,54.4547945205479
"30",1918,91.3194520547945,50.721095890411
"31",1919,92.5517808219178,50.4156164383562
"32",1920,90.116393442623,48.5
"33",1921,88.5498630136986,48.2731506849315
"34",1922,92.3893150684931,49.9268493150685
"35",1923,91.6356164383562,50.7241095890411
"36",1924,92.1016393442623,49.7213114754098
"37",1925,92.8841095890411,50.6397260273973
"38",1926,91.4084931506849,50.9290410958904
"39",1927,91.2432876712329,49.3991780821918
"40",1928,91.370218579235,48.4532786885246
"41",1929,92.3317808219178,49.7816438356164
"42",1930,91.1567123287671,49.4501369863014
"43",1931,91.0583561643836,49.9586301369863
"44",1932,90.6139344262295,49.0267759562842
"45",1933,88.7950684931507,47.1408219178082
"46",1934,91.1093150684931,49.8186301369863
"47",1935,92.2194520547945,49.0235616438356
"48",1936,90.1959016393443,48.4401639344262
"49",1937,91.2350684931507,48.2032876712329
"50",1938,90.401095890411,48.8583561643836
"51",1939,90.6958904109589,49.2364383561644
"52",1940,91.0213114754098,47.242349726776
"53",1941,93.1871232876712,51.4145205479452
"54",1942,92.7041095890411,51.3120547945205
"55",1943,91.9460273972603,49.8660273972603
"56",1944,91.3661202185792,48.6327868852459
"57",1945,90.5797260273973,50.6265753424658
"58",1946,90.0271232876712,48.7468493150685
"59",1947,89.0093150684932,48.1660273972603
"60",1948,90.5666666666667,47.6904371584699
"61",1949,87.7487671232877,46.2753424657534
"62",1950,88.5021917808219,46.6156164383562
"63",1951,92.266301369863,50.7506849315068
