Year,Date,Level
1986,1986-07,7009
1986,1986-08,7001
1986,1986-09,6920
1986,1986-10,6905
1986,1986-11,6959
1986,1986-12,6924
1987,1987-01,6916
1987,1987-02,6894
1987,1987-03,7055
1987,1987-04,7023
1987,1987-05,7011
1987,1987-06,7048
1987,1987-07,7041
1987,1987-08,6947
1987,1987-09,6937
1987,1987-10,6999
1987,1987-11,6879
1987,1987-12,-99999
1988,1988-01,6957
1988,1988-02,7027
1988,1988-03,6988
1988,1988-04,7192
1988,1988-05,7082
1988,1988-06,7100
1988,1988-07,7037
1988,1988-08,6987
1988,1988-09,6963
1988,1988-10,7066
1988,1988-11,7034
1988,1988-12,6933
1989,1989-01,7013
1989,1989-02,-99999
1989,1989-03,7034
1989,1989-04,7156
1989,1989-05,7093
1989,1989-06,7127
1989,1989-07,7042
1989,1989-08,7008
1989,1989-09,7004
1989,1989-10,7060
1989,1989-11,6938
1989,1989-12,-99999
1990,1990-01,-99999
1990,1990-02,7117
1990,1990-03,7070
1990,1990-04,-99999
1990,1990-05,7140
1990,1990-06,-99999
1990,1990-07,7046
1990,1990-08,7115
1990,1990-09,6946
1990,1990-10,7019
1990,1990-11,6986
1990,1990-12,6942
1991,1991-01,6943
1991,1991-02,7080
1991,1991-03,7014
1991,1991-04,7057
1991,1991-05,7031
1991,1991-06,6997
1991,1991-07,7058
1991,1991-08,6991
1991,1991-09,-99999
1991,1991-10,6884
1991,1991-11,6917
1991,1991-12,6973
1992,1992-01,6970
1992,1992-02,6954
1992,1992-03,6969
1992,1992-04,7008
1992,1992-05,6968
1992,1992-06,7040
1992,1992-07,6991
1992,1992-08,6988
1992,1992-09,6928
1992,1992-10,6894
1992,1992-11,6941
1992,1992-12,6901
1993,1993-01,6881
1993,1993-02,6914
1993,1993-03,6921
1993,1993-04,6877
1993,1993-05,6945
1993,1993-06,7022
1993,1993-07,6971
1993,1993-08,6925
1993,1993-09,6809
1993,1993-10,6866
1993,1993-11,6870
1993,1993-12,6877
1994,1994-01,6973
1994,1994-02,6901
1994,1994-03,6984
1994,1994-04,6954
1994,1994-05,7017
1994,1994-06,6966
1994,1994-07,6930
1994,1994-08,6942
1994,1994-09,7008
1994,1994-10,6910
1994,1994-11,6870
1994,1994-12,6898
1995,1995-01,7003
1995,1995-02,6978
1995,1995-03,7056
1995,1995-04,7029
1995,1995-05,7004
1995,1995-06,7001
1995,1995-07,6929
1995,1995-08,6889
1995,1995-09,7001
1995,1995-10,6866
1995,1995-11,6966
1995,1995-12,-99999
1996,1996-01,-99999
1996,1996-02,7050
1996,1996-03,6970
1996,1996-04,7037
1996,1996-05,-99999
1996,1996-06,7022
1996,1996-07,7034
1996,1996-08,6987
1996,1996-09,6987
1996,1996-10,6799
1996,1996-11,6935
1996,1996-12,6885
1997,1997-01,6889
1997,1997-02,6853
1997,1997-03,6937
1997,1997-04,6941
1997,1997-05,7030
1997,1997-06,6979
1997,1997-07,6900
1997,1997-08,6919
1997,1997-09,6851
1997,1997-10,6872
1997,1997-11,6875
1997,1997-12,6877
1998,1998-01,6852
1998,1998-02,6890
1998,1998-03,7022
1998,1998-04,7017
1998,1998-05,7011
1998,1998-06,7046
1998,1998-07,7023
1998,1998-08,6977
1998,1998-09,6977
1998,1998-10,7049
1998,1998-11,6953
1998,1998-12,7020
1999,1999-01,7023
1999,1999-02,7076
1999,1999-03,7046
1999,1999-04,7188
1999,1999-05,7142
1999,1999-06,7057
1999,1999-07,7097
1999,1999-08,6942
1999,1999-09,6931
1999,1999-10,6978
1999,1999-11,6974
1999,1999-12,6955
2000,2000-01,7038
2000,2000-02,6864
2000,2000-03,7037
2000,2000-04,7043
2000,2000-05,7104
2000,2000-06,7021
2000,2000-07,7040
2000,2000-08,6984
2000,2000-09,6967
2000,2000-10,6927
2000,2000-11,6870
2000,2000-12,6981
2001,2001-01,6974
2001,2001-02,7051
2001,2001-03,7237
2001,2001-04,7098
2001,2001-05,7134
2001,2001-06,7032
2001,2001-07,7063
2001,2001-08,7080
2001,2001-09,6954
2001,2001-10,7088
2001,2001-11,6992
2001,2001-12,7003
2002,2002-01,7058
2002,2002-02,7044
2002,2002-03,7061
2002,2002-04,6987
2002,2002-05,7002
2002,2002-06,7078
2002,2002-07,6996
2002,2002-08,6938
2002,2002-09,6934
2002,2002-10,6906
2002,2002-11,6917
2002,2002-12,6891
2003,2003-01,6927
2003,2003-02,6946
2003,2003-03,6996
2003,2003-04,7022
2003,2003-05,7039
2003,2003-06,7056
2003,2003-07,6906
2003,2003-08,6971
2003,2003-09,6956
2003,2003-10,6908
2003,2003-11,-99999
2003,2003-12,-99999
2004,2004-01,-99999
2004,2004-02,6940
2004,2004-03,6925
2004,2004-04,7035
2004,2004-05,7095
2004,2004-06,7043
2004,2004-07,6942
2004,2004-08,6967
2004,2004-09,6889
2004,2004-10,6989
