"","year","RHminT","RHmaxT"
"1",1889,54.9216438356164,25.3605479452055
"2",1890,55.3975342465753,25.7254794520548
"3",1891,55.798904109589,25.7813698630137
"4",1892,53.8169398907104,24.383606557377
"5",1893,53.7443835616438,24.4027397260274
"6",1894,55.2098630136986,25.9019178082192
"7",1895,55.1460273972603,25.6512328767123
"8",1896,53.5806010928962,24.8535519125683
"9",1897,51.7802739726027,23.9115068493151
"10",1898,53.1041095890411,24.7468493150685
"11",1899,53.141095890411,24.6153424657534
"12",1900,52.5764383561644,24.5224657534247
"13",1901,53.9917808219178,25.1112328767123
"14",1902,51.9172602739726,23.553698630137
"15",1903,55.7139726027397,26.0438356164384
"16",1904,55.8912568306011,25.9937158469945
"17",1905,53.6679452054795,24.1043835616438
"18",1906,56.4452054794521,26.1778082191781
"19",1907,55.2682191780822,25.3586301369863
"20",1908,55.4614754098361,26.0609289617486
"21",1909,55.0849315068493,25.4290410958904
"22",1910,58.6490410958904,28.0205479452055
"23",1911,52.6660273972603,24.2117808219178
"24",1912,52.4322404371585,24.0838797814208
"25",1913,54.767397260274,25.3065753424658
"26",1914,54.8254794520548,25.733698630137
"27",1915,54.2369863013699,24.5958904109589
"28",1916,56.3368852459016,26.8163934426229
"29",1917,56.1112328767123,26.273698630137
"30",1918,55.5983561643836,25.3569863013699
"31",1919,53.1293150684931,24.8032876712329
"32",1920,56.8021857923497,27.7237704918033
"33",1921,59.0857534246575,28.5052054794521
"34",1922,54.8608219178082,25.2835616438356
"35",1923,55.3975342465753,25.2616438356164
"36",1924,58.8390710382514,26.7994535519126
"37",1925,57.6643835616438,26.5756164383562
"38",1926,57.3687671232877,25.9816438356164
"39",1927,56.6493150684932,25.6104109589041
"40",1928,53.1054644808743,24.1363387978142
"41",1929,52.5252054794521,23.7347945205479
"42",1930,60.5824657534247,28.0161643835616
"43",1931,54.9624657534247,25.3550684931507
"44",1932,57.4571038251366,27.4819672131148
"45",1933,57.827397260274,27.3027397260274
"46",1934,52.2104109589041,24.5928767123288
"47",1935,50.807397260274,23.4465753424658
"48",1936,53.2456284153005,24.5431693989071
"49",1937,51.1953424657534,23.4841095890411
"50",1938,50.3339726027397,22.858904109589
"51",1939,58.0578082191781,28.2747945205479
"52",1940,56.9207650273224,25.9180327868852
"53",1941,62.1715068493151,29.3104109589041
"54",1942,57.4912328767123,26.5849315068493
"55",1943,53.9235616438356,24.3772602739726
"56",1944,59.8639344262295,27.8811475409836
"57",1945,53.8695890410959,25.2041095890411
"58",1946,56.8024657534247,25.4391780821918
"59",1947,56.2534246575342,26.6191780821918
"60",1948,54.1546448087432,24.6333333333333
"61",1949,59.8939726027397,28.3597260273973
"62",1950,62.3772602739726,30.512602739726
"63",1951,53.1304109589041,24.073698630137
"64",1952,44.903825136612,20.5453551912568
"65",1953,48.912602739726,23.6397260273973
"66",1954,47.6583561643836,22.6687671232877
"67",1955,52.4769863013699,26.4621917808219
"68",1956,52.5338797814208,26.4185792349727
"69",1957,53.0917808219178,24.2701369863014
"70",1958,51.8090410958904,23.133698630137
"71",1959,49.3569863013699,22.9246575342466
"72",1960,50.2136612021858,23.1934426229508
"73",1961,47.8035616438356,21.4693150684932
"74",1962,53.0619178082192,24.5747945205479
"75",1963,52.6372602739726,24.3621917808219
"76",1964,49.5491803278689,23.2743169398907
"77",1965,50.6468493150685,23.7564383561644
"78",1966,56.1715068493151,26.4093150684932
"79",1967,55.7997260273973,25.9043835616438
"80",1968,63.0254098360656,30.2073770491803
"81",1969,53.0301369863014,24.7731506849315
"82",1970,42.1802739726027,19.7630136986301
"83",1971,50.3947945205479,24.7786301369863
"84",1972,44.9475409836066,21.5398907103825
"85",1973,61.3876712328767,30.4950684931507
"86",1974,67.9295890410959,33.7534246575342
"87",1975,59.2358904109589,29.6191780821918
"88",1976,56.1418032786885,27.3581967213115
"89",1977,61.6668493150685,31.1328767123288
"90",1978,57.161095890411,27.9950684931507
"91",1979,53.6969863013699,26.4142465753425
"92",1980,47.8330601092896,22.7153005464481
"93",1981,50.4843835616438,25.2421917808219
"94",1982,49.0178082191781,24.2857534246575
"95",1983,54.1682191780822,26.8232876712329
"96",1984,53.5565573770492,26.9950819672131
"97",1985,44.4520547945205,21.232602739726
"98",1986,44.766301369863,22.2208219178082
"99",1987,49.2378082191781,24.9517808219178
"100",1988,46.3953551912568,22.8286885245902
"101",1989,48.1175342465753,24.4767123287671
"102",1990,46.9487671232877,23.06
"103",1991,50.0786301369863,24.8717808219178
"104",1992,45.5404371584699,22.1792349726776
"105",1993,55.4717808219178,28.7167123287671
"106",1994,42.2339726027397,20.2175342465753
"107",1995,51.3306849315069,25.9282191780822
"108",1996,46.2284153005465,23.1975409836066
"109",1997,53.5624657534247,27.0687671232877
"110",1998,51.0123287671233,25.372602739726
"111",1999,51.4413698630137,25.667397260274
"112",2000,61.3956284153005,32.8680327868852
"113",2001,57.0476712328767,29.2375342465753
"114",2002,41.8172602739726,19.9142465753425
"115",2003,49.2975342465753,24.9441095890411
"116",2004,49.6669398907104,24.8617486338798
"117",2005,48.4865753424658,24.0638356164384
"118",2006,54.7717808219178,27.6846575342466
"119",2007,53.7175342465753,26.872602739726
"120",2008,43.4207650273224,21.2095628415301
"121",2009,49.0517808219178,24.3131506849315
"122",2010,61.8797260273973,32.4553424657534
"123",2011,64.9695890410959,32.8057534246575
"124",2012,49.8729508196721,24.348087431694
"125",2013,46.9717808219178,22.5041095890411
"126",2014,51.1279452054794,25.8649315068493
"127",2015,50.4372602739726,25.2282191780822
"128",2016,56.4002732240437,27.8448087431694
"129",2017,55.1706849315068,26.3350684931507
"130",2018,47.2117808219178,22.1895890410959
"131",2019,41.1547945205479,19.6405479452055
"132",2020,47.6737704918033,23.7286885245902
"133",2021,48.6709589041096,23.2257534246575
"134",2022,51.8923287671233,25.8087671232877
"135",2023,60.1347945205479,29.5909589041096
"136",2024,70.8263779527559,36.3543307086614
