"","Date","Temperature"
"1",1889-01-01,29.4
"2",1889-01-02,30.3
"3",1889-01-03,30.3
"4",1889-01-04,28.4
"5",1889-01-05,29
"6",1889-01-06,27.9
"7",1889-01-07,29.2
"8",1889-01-08,27.9
"9",1889-01-09,29.2
"10",1889-01-10,29.4
"11",1889-01-11,30.7
"12",1889-01-12,31.4
"13",1889-01-13,31.2
"14",1889-01-14,32.3
"15",1889-01-15,31.5
"16",1889-01-16,30.9
"17",1889-01-17,30.8
"18",1889-01-18,30.9
"19",1889-01-19,30.9
"20",1889-01-20,30.5
"21",1889-01-21,30
"22",1889-01-22,29.9
"23",1889-01-23,30
"24",1889-01-24,31.2
"25",1889-01-25,31.5
"26",1889-01-26,31.9
"27",1889-01-27,31
"28",1889-01-28,29.2
"29",1889-01-29,28.3
"30",1889-01-30,28.2
"31",1889-01-31,28.3
"32",1889-02-01,27.3
"33",1889-02-02,28
"34",1889-02-03,29.1
"35",1889-02-04,29.9
"36",1889-02-05,28.9
"37",1889-02-06,28.2
"38",1889-02-07,28.6
"39",1889-02-08,30.2
"40",1889-02-09,26.8
"41",1889-02-10,27.8
"42",1889-02-11,28.9
"43",1889-02-12,29.3
"44",1889-02-13,28.8
"45",1889-02-14,30.3
"46",1889-02-15,30.2
"47",1889-02-16,31.1
"48",1889-02-17,30
"49",1889-02-18,30
"50",1889-02-19,31.4
"51",1889-02-20,30.5
"52",1889-02-21,30.2
"53",1889-02-22,31.1
"54",1889-02-23,30.2
"55",1889-02-24,30.2
"56",1889-02-25,30.5
"57",1889-02-26,31.3
"58",1889-02-27,31.7
"59",1889-02-28,30.7
"60",1889-03-01,28.4
"61",1889-03-02,28.1
"62",1889-03-03,28.1
"63",1889-03-04,29
"64",1889-03-05,28.8
"65",1889-03-06,29.1
"66",1889-03-07,30.1
"67",1889-03-08,28.9
"68",1889-03-09,29.1
"69",1889-03-10,28.9
"70",1889-03-11,28.4
"71",1889-03-12,29.5
"72",1889-03-13,28.3
"73",1889-03-14,26.3
"74",1889-03-15,26.2
"75",1889-03-16,27.6
"76",1889-03-17,29
"77",1889-03-18,28.9
"78",1889-03-19,29.3
"79",1889-03-20,28.6
"80",1889-03-21,29.6
"81",1889-03-22,28.2
"82",1889-03-23,27.4
"83",1889-03-24,27.4
"84",1889-03-25,24.2
"85",1889-03-26,25
"86",1889-03-27,26.5
"87",1889-03-28,26.2
"88",1889-03-29,25.7
"89",1889-03-30,25.3
"90",1889-03-31,26.1
"91",1889-04-01,26.3
"92",1889-04-02,26.2
"93",1889-04-03,27.2
"94",1889-04-04,27.3
"95",1889-04-05,26.5
"96",1889-04-06,26.7
"97",1889-04-07,25.1
"98",1889-04-08,23.9
"99",1889-04-09,23.6
"100",1889-04-10,23.7
"101",1889-04-11,23.6
"102",1889-04-12,24.4
"103",1889-04-13,25.4
"104",1889-04-14,25.2
"105",1889-04-15,24.8
"106",1889-04-16,25.5
"107",1889-04-17,23.3
"108",1889-04-18,24.2
"109",1889-04-19,24.2
"110",1889-04-20,24.5
"111",1889-04-21,24.8
"112",1889-04-22,24.1
"113",1889-04-23,24.9
"114",1889-04-24,24.2
"115",1889-04-25,25
"116",1889-04-26,24.9
"117",1889-04-27,24.8
"118",1889-04-28,24.1
"119",1889-04-29,24.1
"120",1889-04-30,24.7
"121",1889-05-01,23.8
"122",1889-05-02,24.3
"123",1889-05-03,24
"124",1889-05-04,24.6
"125",1889-05-05,23.3
"126",1889-05-06,22.9
"127",1889-05-07,22.4
"128",1889-05-08,23.1
"129",1889-05-09,22.9
"130",1889-05-10,23.5
"131",1889-05-11,23.4
"132",1889-05-12,23
"133",1889-05-13,22.7
"134",1889-05-14,21.9
"135",1889-05-15,21.9
"136",1889-05-16,22.7
"137",1889-05-17,23.1
"138",1889-05-18,23.2
"139",1889-05-19,22.4
"140",1889-05-20,22.6
"141",1889-05-21,22.4
"142",1889-05-22,21.3
"143",1889-05-23,20.8
"144",1889-05-24,20.8
"145",1889-05-25,20.9
"146",1889-05-26,20.9
"147",1889-05-27,20.3
"148",1889-05-28,20.9
"149",1889-05-29,21.9
"150",1889-05-30,22.6
"151",1889-05-31,22.1
"152",1889-06-01,21.4
"153",1889-06-02,21.7
"154",1889-06-03,21.1
"155",1889-06-04,21.1
"156",1889-06-05,21
"157",1889-06-06,19.6
"158",1889-06-07,19.1
"159",1889-06-08,20
"160",1889-06-09,20.4
"161",1889-06-10,20.6
"162",1889-06-11,20.2
"163",1889-06-12,20.4
"164",1889-06-13,21
"165",1889-06-14,20
"166",1889-06-15,18.8
"167",1889-06-16,18.3
"168",1889-06-17,19.2
"169",1889-06-18,19.6
"170",1889-06-19,19.7
"171",1889-06-20,19.2
"172",1889-06-21,18.9
"173",1889-06-22,19
"174",1889-06-23,18.6
"175",1889-06-24,18.2
"176",1889-06-25,17.7
"177",1889-06-26,18
"178",1889-06-27,18.6
"179",1889-06-28,19.1
"180",1889-06-29,19.3
"181",1889-06-30,19.4
