"","Date","Temperature"
"1",1889-01-01,37.2
"2",1889-01-02,37.4
"3",1889-01-03,35.3
"4",1889-01-04,36.9
"5",1889-01-05,36.3
"6",1889-01-06,36.6
"7",1889-01-07,37.1
"8",1889-01-08,37.5
"9",1889-01-09,37.9
"10",1889-01-10,38.2
"11",1889-01-11,38.2
"12",1889-01-12,37.9
"13",1889-01-13,37.8
"14",1889-01-14,37.9
"15",1889-01-15,38.1
"16",1889-01-16,37.4
"17",1889-01-17,37.9
"18",1889-01-18,37.5
"19",1889-01-19,37.6
"20",1889-01-20,38
"21",1889-01-21,38.4
"22",1889-01-22,38.4
"23",1889-01-23,37.7
"24",1889-01-24,36.7
"25",1889-01-25,36.5
"26",1889-01-26,37.1
"27",1889-01-27,37.7
"28",1889-01-28,36.5
"29",1889-01-29,36.2
"30",1889-01-30,36.3
"31",1889-01-31,37.6
"32",1889-02-01,37.7
"33",1889-02-02,37.7
"34",1889-02-03,36.8
"35",1889-02-04,37
"36",1889-02-05,35.8
"37",1889-02-06,35.8
"38",1889-02-07,35.6
"39",1889-02-08,35.3
"40",1889-02-09,35.8
"41",1889-02-10,36.2
"42",1889-02-11,36.3
"43",1889-02-12,36.8
"44",1889-02-13,36.8
"45",1889-02-14,36.8
"46",1889-02-15,37.4
"47",1889-02-16,37.2
"48",1889-02-17,37.3
"49",1889-02-18,37
"50",1889-02-19,37
"51",1889-02-20,36.8
"52",1889-02-21,37.3
"53",1889-02-22,36.9
"54",1889-02-23,36.9
"55",1889-02-24,36.8
"56",1889-02-25,37.3
"57",1889-02-26,37.5
"58",1889-02-27,37.4
"59",1889-02-28,35.7
"60",1889-03-01,35.7
"61",1889-03-02,35.4
"62",1889-03-03,35.5
"63",1889-03-04,36.3
"64",1889-03-05,37.4
"65",1889-03-06,36.6
"66",1889-03-07,36.1
"67",1889-03-08,34.9
"68",1889-03-09,35
"69",1889-03-10,35.4
"70",1889-03-11,35.4
"71",1889-03-12,35.5
"72",1889-03-13,35.6
"73",1889-03-14,36.8
"74",1889-03-15,37
"75",1889-03-16,35.8
"76",1889-03-17,35.4
"77",1889-03-18,35.6
"78",1889-03-19,35.7
"79",1889-03-20,35.6
"80",1889-03-21,35.2
"81",1889-03-22,34.4
"82",1889-03-23,34.6
"83",1889-03-24,34.9
"84",1889-03-25,35.2
"85",1889-03-26,34.7
"86",1889-03-27,35
"87",1889-03-28,34.8
"88",1889-03-29,34.6
"89",1889-03-30,34.7
"90",1889-03-31,34.5
"91",1889-04-01,34
"92",1889-04-02,35.1
"93",1889-04-03,34.7
"94",1889-04-04,34.6
"95",1889-04-05,35.3
"96",1889-04-06,33.5
"97",1889-04-07,33.2
"98",1889-04-08,32.2
"99",1889-04-09,31.9
"100",1889-04-10,32.4
"101",1889-04-11,32.7
"102",1889-04-12,32.7
