year,n_states
1910,6
1911,4
1912,4
1913,6
1914,2
1915,6
1916,2
1917,6
1918,2
1919,2
1920,4
1921,6
1922,6
1923,4
1924,2
1925,4
1926,6
1927,4
1928,6
1929,6
1930,6
1931,4
1932,2
1933,4
1934,4
1935,6
1936,6
1937,4
1938,2
1939,2
1940,2
1941,2
1942,6
1943,6
1944,6
1945,4
1946,2
1947,4
1948,4
1949,4
1950,6
1951,2
1952,4
1953,4
1954,4
1955,6
1956,2
1957,2
1958,6
1959,6
1960,2
1961,4
1962,4
1963,4
1964,6
1965,2
1966,2
1967,6
1968,4
1969,4
1970,6
1971,6
1972,6
1973,6
1974,6
1975,6
1976,6
1977,6
1978,2
1979,6
1980,6
1981,6
1982,6
1983,4
1984,4
1985,4
1986,6
1987,6
1988,6
1989,4
1990,4
1991,6
1992,6
1993,2
1994,4
1995,4
1996,6
1997,6
1998,2
1999,2
2000,6
2001,6
2002,4
2003,4
2004,6
2005,4
2006,6
2007,4
2008,6
2009,4
2010,4
2011,6
2012,4
2013,4
2014,2
2015,4
2016,6
2017,4
2018,6
2019,6
2020,4
2021,4
2022,6
2023,6
2024,6
2025,2
