"","Scenario","Year","Best_Estimate","Low_Range","High_Range"
"1","SSP1-1.9",2014-01-01,1.91907122539112,1.91907122539112,1.91907122539112
"2","SSP1-1.9",2040-01-01,2.56907122539112,2.26907122539112,2.76907122539112
"3","SSP1-1.9",2060-01-01,2.66907122539112,2.26907122539112,3.06907122539112
"4","SSP1-1.9",2100-01-01,2.46907122539112,2.06907122539112,2.86907122539112
"5","SSP1-2.6",2014-01-01,1.91907122539112,1.91907122539112,1.91907122539112
"6","SSP1-2.6",2040-01-01,2.56907122539112,2.26907122539112,2.86907122539112
"7","SSP1-2.6",2060-01-01,2.76907122539112,2.36907122539112,3.26907122539112
"8","SSP1-2.6",2100-01-01,2.86907122539112,2.36907122539112,3.46907122539112
"9","SSP2-4.5",2014-01-01,1.91907122539112,1.91907122539112,1.91907122539112
"10","SSP2-4.5",2040-01-01,2.56907122539112,2.26907122539112,2.86907122539112
"11","SSP2-4.5",2060-01-01,3.06907122539112,2.66907122539112,3.56907122539112
"12","SSP2-4.5",2100-01-01,3.76907122539112,3.16907122539112,4.56907122539112
"13","SSP3-7.0",2014-01-01,1.91907122539112,1.91907122539112,1.91907122539112
"14","SSP3-7.0",2040-01-01,2.56907122539112,2.26907122539112,2.86907122539112
"15","SSP3-7.0",2060-01-01,3.16907122539112,2.76907122539112,3.66907122539112
"16","SSP3-7.0",2100-01-01,4.66907122539112,3.86907122539112,5.66907122539112
"17","SSP5-8.5",2014-01-01,1.91907122539112,1.91907122539112,1.91907122539112
"18","SSP5-8.5",2040-01-01,2.66907122539112,2.36907122539112,2.96907122539112
"19","SSP5-8.5",2060-01-01,3.46907122539112,2.96907122539112,4.06907122539112
"20","SSP5-8.5",2100-01-01,5.46907122539112,4.36907122539112,6.76907122539112
