"","Scenario","Year","Best_Estimate","Low_Range","High_Range"
"1","SSP1-1.9",2014-01-01,25.8390375215211,25.8390375215211,25.8390375215211
"2","SSP1-1.9",2040-01-01,26.4890375215211,26.1890375215211,26.6890375215211
"3","SSP1-1.9",2060-01-01,26.5890375215211,26.1890375215211,26.9890375215211
"4","SSP1-1.9",2100-01-01,26.3890375215211,25.9890375215211,26.7890375215211
"5","SSP1-2.6",2014-01-01,25.8390375215211,25.8390375215211,25.8390375215211
"6","SSP1-2.6",2040-01-01,26.4890375215211,26.1890375215211,26.7890375215211
"7","SSP1-2.6",2060-01-01,26.6890375215211,26.2890375215211,27.1890375215211
"8","SSP1-2.6",2100-01-01,26.7890375215211,26.2890375215211,27.3890375215211
"9","SSP2-4.5",2014-01-01,25.8390375215211,25.8390375215211,25.8390375215211
"10","SSP2-4.5",2040-01-01,26.4890375215211,26.1890375215211,26.7890375215211
"11","SSP2-4.5",2060-01-01,26.9890375215211,26.5890375215211,27.4890375215211
"12","SSP2-4.5",2100-01-01,27.6890375215211,27.0890375215211,28.4890375215211
"13","SSP3-7.0",2014-01-01,25.8390375215211,25.8390375215211,25.8390375215211
"14","SSP3-7.0",2040-01-01,26.4890375215211,26.1890375215211,26.7890375215211
"15","SSP3-7.0",2060-01-01,27.0890375215211,26.6890375215211,27.5890375215211
"16","SSP3-7.0",2100-01-01,28.5890375215211,27.7890375215211,29.5890375215211
"17","SSP5-8.5",2014-01-01,25.8390375215211,25.8390375215211,25.8390375215211
"18","SSP5-8.5",2040-01-01,26.5890375215211,26.2890375215211,26.8890375215211
"19","SSP5-8.5",2060-01-01,27.3890375215211,26.8890375215211,27.9890375215211
"20","SSP5-8.5",2100-01-01,29.3890375215211,28.2890375215211,30.6890375215211
